fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,84.13,70.3,90.5,77.33,92.17,79.77,116 / 49 / 324 / 34
1,85.28,77.84,88.76,76.47,92.8,83.12,130 / 37 / 316 / 40
2,86.04,83.22,87.17,72.09,93.8,85.17,124 / 25 / 326 / 48
3,87.16,83.23,88.83,75.88,94.38,85.98,129 / 26 / 326 / 41
4,87.55,76.83,92.46,82.35,93.43,84.28,126 / 38 / 331 / 27
5,88.89,84.52,90.74,79.39,94.79,87.57,131 / 24 / 333 / 34
6,89.27,72.19,96.23,88.62,94.52,83.34,109 / 42 / 357 / 14
7,88.7,86.96,89.47,78.65,93.97,88.21,140 / 21 / 323 / 38
8,86.4,73.33,91.67,78.01,93.14,81.99,110 / 40 / 341 / 31
9,86.21,86.09,86.25,71.82,94.28,86.17,130 / 21 / 320 / 51
Average,86.96,79.45,90.21,78.06,93.73,84.56, 
